epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,24425.1,1.24505,0.728,0.96852,0.73309,0.48781,0.54694,0.31347,1.23663,0.67347,0.95038,0.00427565,0.00427565,0.00427565
57,25429.5,1.24263,0.7244,0.96701,0.72758,0.49069,0.54699,0.31383,1.23612,0.67288,0.95002,0.00412246,0.00412246,0.00412246
58,26431.6,1.24034,0.72302,0.96747,0.73259,0.48932,0.54722,0.31409,1.23579,0.6725,0.94984,0.00397019,0.00397019,0.00397019
59,27433,1.24,0.72205,0.96708,0.7269,0.49175,0.54736,0.31439,1.23543,0.67207,0.94972,0.00381899,0.00381899,0.00381899
60,28435.4,1.23654,0.71879,0.9653,0.73216,0.49198,0.54817,0.31496,1.23509,0.67164,0.94951,0.00366899,0.00366899,0.00366899
61,29437.1,1.23609,0.71783,0.96497,0.73509,0.48969,0.54863,0.31537,1.23471,0.67119,0.94921,0.00352037,0.00352037,0.00352037
62,30439.2,1.23427,0.71477,0.96473,0.73429,0.48924,0.54877,0.31611,1.23431,0.67082,0.94898,0.00337325,0.00337325,0.00337325
63,31441.4,1.23225,0.71183,0.96329,0.73218,0.49227,0.54936,0.31651,1.23384,0.67028,0.94867,0.00322778,0.00322778,0.00322778
64,32443.8,1.2304,0.71032,0.96313,0.72965,0.49347,0.5493,0.31674,1.2336,0.67005,0.94842,0.00308412,0.00308412,0.00308412
65,33446.8,1.22912,0.70903,0.9626,0.7309,0.49359,0.54938,0.31706,1.23322,0.66958,0.94811,0.00294239,0.00294239,0.00294239
66,34449.1,1.22673,0.7065,0.96212,0.73274,0.49267,0.54977,0.31721,1.23301,0.66937,0.94793,0.00280275,0.00280275,0.00280275
67,35470.7,1.22507,0.70357,0.96104,0.73218,0.49472,0.5506,0.31739,1.23279,0.66895,0.94769,0.00266532,0.00266532,0.00266532
68,36476,1.22514,0.702,0.96046,0.73209,0.49666,0.55081,0.31757,1.23254,0.66859,0.94753,0.00253024,0.00253024,0.00253024
69,37498.7,1.22373,0.70113,0.96015,0.7275,0.49776,0.55058,0.31765,1.23216,0.66829,0.9472,0.00239766,0.00239766,0.00239766
70,38868.1,1.22096,0.69819,0.95896,0.63239,0.49759,0.55243,0.31839,1.23182,0.66789,0.94694,0.00226769,0.00226769,0.00226769
71,40463.4,1.21834,0.69619,0.95827,0.72888,0.49866,0.55284,0.31854,1.23147,0.66749,0.94665,0.00214046,0.00214046,0.00214046
72,1038.28,1.21301,0.68667,0.95698,0.63128,0.49913,0.55381,0.31876,1.23135,0.66696,0.94651,0.00201611,0.00201611,0.00201611
73,2060.09,1.21394,0.68946,0.95749,0.63401,0.49857,0.5539,0.31907,1.23122,0.66645,0.94641,0.00189475,0.00189475,0.00189475
74,3081.6,1.21202,0.68668,0.95605,0.73311,0.49843,0.5542,0.31889,1.23108,0.66595,0.94631,0.00177651,0.00177651,0.00177651
75,4104.99,1.20874,0.68485,0.95447,0.73553,0.49852,0.55459,0.3193,1.23092,0.66556,0.94612,0.00166149,0.00166149,0.00166149
76,5128.54,1.20871,0.68291,0.95465,0.73423,0.49924,0.55446,0.31945,1.23079,0.66522,0.94589,0.00154982,0.00154982,0.00154982
77,6152.42,1.20773,0.68271,0.95436,0.63668,0.49802,0.55461,0.31944,1.23067,0.665,0.94573,0.00144161,0.00144161,0.00144161
78,7267.04,1.20655,0.67902,0.95312,0.63567,0.49833,0.55536,0.3196,1.2306,0.6646,0.94548,0.00133695,0.00133695,0.00133695
79,8613.67,1.20277,0.6762,0.95224,0.63479,0.49952,0.55545,0.3198,1.2304,0.66435,0.94529,0.00123596,0.00123596,0.00123596
80,9962.04,1.20244,0.67403,0.95147,0.6334,0.50069,0.55528,0.31987,1.23039,0.66417,0.94512,0.00113873,0.00113873,0.00113873
81,11309.2,1.19834,0.67101,0.95004,0.63587,0.49963,0.55561,0.32006,1.23033,0.6639,0.9449,0.00104537,0.00104537,0.00104537
82,12651.5,1.19877,0.66969,0.95059,0.63234,0.50068,0.55576,0.31992,1.23027,0.66357,0.94476,0.000955951,0.000955951,0.000955951
83,13997.8,1.19623,0.66701,0.94936,0.63518,0.49916,0.55612,0.31994,1.23033,0.66344,0.94469,0.000870577,0.000870577,0.000870577
84,15343.8,1.1952,0.66516,0.94929,0.63882,0.49795,0.55623,0.32009,1.23038,0.66325,0.94457,0.000789327,0.000789327,0.000789327
85,16717.2,1.19223,0.66243,0.94864,0.64055,0.49642,0.55638,0.32014,1.2304,0.6631,0.94453,0.000712282,0.000712282,0.000712282
86,18060.7,1.19279,0.66099,0.94799,0.6412,0.4965,0.55668,0.32033,1.23047,0.66303,0.94443,0.000639518,0.000639518,0.000639518
87,19406.3,1.19155,0.65985,0.94753,0.64265,0.49641,0.55751,0.32017,1.23067,0.66305,0.94432,0.000571106,0.000571106,0.000571106
88,20668.5,1.18852,0.65659,0.94705,0.64062,0.49616,0.55723,0.32008,1.23083,0.66297,0.94418,0.000507115,0.000507115,0.000507115
89,21887.4,1.18662,0.65473,0.94572,0.64139,0.49656,0.55703,0.31999,1.23099,0.66295,0.94407,0.000447606,0.000447606,0.000447606
90,23149.8,1.1856,0.65324,0.94571,0.63768,0.49863,0.55696,0.31972,1.23112,0.66295,0.94394,0.00039264,0.00039264,0.00039264
91,1089.64,1.23318,0.66166,0.95366,0.63826,0.49758,0.55686,0.31948,1.23125,0.66314,0.94402,0.00034227,0.00034227,0.00034227
92,2102.13,1.23008,0.65911,0.95233,0.63787,0.49725,0.55644,0.31948,1.23138,0.66329,0.94404,0.000296546,0.000296546,0.000296546
93,3115.8,1.22944,0.65763,0.95219,0.63596,0.49753,0.55622,0.31943,1.23149,0.66352,0.94406,0.000255513,0.000255513,0.000255513
94,4128.46,1.22854,0.65623,0.95219,0.6351,0.49733,0.55534,0.31926,1.23172,0.66378,0.94407,0.000219212,0.000219212,0.000219212
95,5140.96,1.22704,0.65502,0.95154,0.63543,0.49703,0.55548,0.31918,1.23188,0.66403,0.94412,0.000187678,0.000187678,0.000187678
96,6152.15,1.22571,0.65335,0.95105,0.63503,0.49842,0.55584,0.31887,1.23217,0.66437,0.94416,0.000160943,0.000160943,0.000160943
97,7165.03,1.2258,0.65286,0.95082,0.63635,0.49819,0.55578,0.31869,1.23241,0.66459,0.94426,0.000139032,0.000139032,0.000139032
98,8178.58,1.22546,0.65207,0.9505,0.63269,0.49871,0.55522,0.31832,1.23264,0.66495,0.94435,0.000121968,0.000121968,0.000121968
99,9191.12,1.22406,0.65052,0.95031,0.6367,0.49698,0.55547,0.31823,1.23283,0.66521,0.94439,0.000109768,0.000109768,0.000109768
100,10203,1.22279,0.65076,0.94956,0.63398,0.4989,0.55516,0.31806,1.23302,0.66552,0.94444,0.000102443,0.000102443,0.000102443
