layer_name,layer_type,quantized,kernel_shape,weight_granularity,input_scale,input_zp,weight_scale_count,weight_scale_min,weight_scale_max,weight_zp,output_scale,output_zp,backend,op_class
conv_13,Conv,Y,"[1, 1]",per_channel,0.10896944254636765,0,32,0.00166616,0.00360614,0,0.05595063045620918,0,gemmini,pointwise_conv
conv_14,Conv,Y,"[1, 1]",per_channel,0.10896944254636765,0,32,0.00483809,0.01537279,0,0.1196097806096077,0,gemmini,pointwise_conv
conv_15,Conv,Y,"[3, 3]",per_channel,0.05590476840734482,0,32,0.00178431,0.00572255,0,0.0765133872628212,0,gemmini,standard_conv
conv_16,Conv,Y,"[3, 3]",per_channel,0.0765087753534317,0,32,0.00169798,0.00531399,0,0.10520420223474503,0,gemmini,standard_conv
conv_17,Conv,Y,"[3, 3]",per_channel,0.11357269436120987,0,32,0.00089250,0.00337262,0,0.09484481066465378,0,gemmini,standard_conv
conv_18,Conv,Y,"[3, 3]",per_channel,0.07878530025482178,0,32,0.00274021,0.00777538,0,0.14222556352615356,0,gemmini,standard_conv
conv_19,Conv,Y,"[1, 1]",per_channel,0.16428329050540924,0,64,0.00148507,0.00449792,0,0.09810186922550201,0,gemmini,pointwise_conv
conv_20,Conv,Y,"[1, 1]",per_channel,0.10896944254636765,0,128,0.00107622,0.00629512,0,0.09431566298007965,0,gemmini,pointwise_conv
conv_21,Conv,Y,"[3, 3]",per_channel,0.0846027210354805,0,256,0.00063003,0.00401372,0,0.12709762156009674,0,gemmini,standard_conv
conv_22,Conv,Y,"[1, 1]",per_channel,0.12709760665893555,0,256,0.00175779,0.00988168,0,0.14123576879501343,0,gemmini,pointwise_conv
conv_23,Conv,Y,"[1, 1]",per_channel,0.14123576879501343,0,64,0.00171631,0.00498290,0,0.10873367637395859,0,gemmini,pointwise_conv
conv_24,Conv,Y,"[1, 1]",per_channel,0.14123576879501343,0,64,0.00331119,0.00699547,0,0.16704681515693665,0,gemmini,pointwise_conv
conv_25,Conv,Y,"[3, 3]",per_channel,0.08784518390893936,0,64,0.00144880,0.00980246,0,0.1461096704006195,0,gemmini,standard_conv
conv_26,Conv,Y,"[3, 3]",per_channel,0.1461096704006195,0,64,0.00079421,0.00542223,0,0.1760425865650177,0,gemmini,standard_conv
conv_27,Conv,Y,"[3, 3]",per_channel,0.18384282290935516,0,64,0.00034074,0.00313271,0,0.11293347924947739,0,gemmini,standard_conv
conv_28,Conv,Y,"[3, 3]",per_channel,0.08492864668369293,0,64,0.00147683,0.00721587,0,0.17427165806293488,0,gemmini,standard_conv
conv_29,Conv,Y,"[1, 1]",per_channel,0.20899584889411926,0,128,0.00107680,0.00671871,0,0.09772185236215591,0,gemmini,pointwise_conv
conv_30,Conv,Y,"[1, 1]",per_channel,0.14123576879501343,0,256,0.00107867,0.00710968,0,0.11921249330043793,0,gemmini,pointwise_conv
conv_31,Conv,Y,"[1, 1]",per_channel,0.08989369124174118,0,128,0.00077224,0.00510131,0,0.08006536960601807,0,gemmini,pointwise_conv
conv_32,Conv,Y,"[1, 1]",per_channel,0.08006229251623154,0,256,0.00035861,0.00537892,0,0.07998951524496078,0,gemmini,pointwise_conv
conv_33,Conv,Y,"[1, 1]",per_channel,0.06163138523697853,0,256,0.00322852,0.02696998,0,0.12814129889011383,0,gemmini,pointwise_conv
conv_34,Conv,Y,"[1, 1]",per_channel,0.12503938376903534,0,256,0.00021332,1.00000000,0,0.09128069877624512,0,gemmini,pointwise_conv
