epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,6852.19,0.83619,0.70919,1.11071,0.80052,0.71814,0.78461,0.58291,0.99541,0.83781,1.19004,0.003664,0.003664,0.003664
66,6951.9,0.83179,0.70273,1.10981,0.80551,0.71342,0.78438,0.58295,0.9956,0.83903,1.19191,0.003565,0.003565,0.003565
67,7051.81,0.82841,0.69304,1.10695,0.81827,0.71181,0.78728,0.58668,0.99849,0.83839,1.19596,0.003466,0.003466,0.003466
68,7151.69,0.82947,0.6977,1.10599,0.83197,0.70371,0.78901,0.58665,0.99482,0.82936,1.1922,0.003367,0.003367,0.003367
69,7251.3,0.81912,0.68572,1.09701,0.81973,0.71195,0.78859,0.58706,0.99526,0.83648,1.19529,0.003268,0.003268,0.003268
70,7351.07,0.81873,0.67533,1.09766,0.831,0.70294,0.78951,0.59001,0.99553,0.83677,1.1944,0.003169,0.003169,0.003169
71,7450.82,0.80738,0.6749,1.09374,0.82746,0.70784,0.78907,0.58923,0.99693,0.83765,1.19823,0.00307,0.00307,0.00307
72,7550.68,0.80852,0.66369,1.09421,0.82177,0.71082,0.78775,0.58732,1.00124,0.84041,1.202,0.002971,0.002971,0.002971
73,7650.61,0.79774,0.6498,1.08941,0.82002,0.70881,0.78669,0.58483,1.00234,0.83968,1.20238,0.002872,0.002872,0.002872
74,7750.09,0.79893,0.65349,1.08515,0.84392,0.69688,0.78849,0.58689,0.99969,0.84085,1.2009,0.002773,0.002773,0.002773
75,7849.97,0.79502,0.64868,1.08886,0.84499,0.70119,0.79065,0.58755,1.00252,0.83914,1.20227,0.002674,0.002674,0.002674
76,7949.94,0.79318,0.63722,1.07972,0.83461,0.7063,0.78986,0.58876,1.00062,0.83571,1.20107,0.002575,0.002575,0.002575
77,8049.56,0.78563,0.63039,1.07712,0.82803,0.7022,0.78808,0.58818,1.00145,0.83968,1.20107,0.002476,0.002476,0.002476
78,8149.26,0.78097,0.62653,1.07285,0.80833,0.7129,0.78623,0.58717,1.00198,0.84437,1.20287,0.002377,0.002377,0.002377
79,8249.12,0.7771,0.61995,1.07344,0.826,0.70313,0.78651,0.58737,1.00237,0.84242,1.20533,0.002278,0.002278,0.002278
80,8349.12,0.77411,0.6173,1.07146,0.80898,0.713,0.78621,0.58853,1.00283,0.84423,1.20613,0.002179,0.002179,0.002179
81,8448.84,0.76864,0.60778,1.06447,0.82624,0.70285,0.78589,0.58715,1.00044,0.84412,1.20509,0.00208,0.00208,0.00208
82,8548.77,0.76547,0.6063,1.0679,0.82396,0.70777,0.78646,0.58667,1.00235,0.8467,1.20643,0.001981,0.001981,0.001981
83,8648.6,0.76046,0.60344,1.06182,0.81872,0.70861,0.78692,0.58731,1.00159,0.84841,1.20542,0.001882,0.001882,0.001882
84,8748.48,0.75515,0.59122,1.05885,0.8382,0.69966,0.78554,0.58622,1.00125,0.84967,1.20546,0.001783,0.001783,0.001783
85,8848.26,0.74901,0.58587,1.05607,0.83798,0.69852,0.78442,0.58526,1.00326,0.84903,1.20706,0.001684,0.001684,0.001684
86,8947.89,0.74493,0.58061,1.05362,0.82785,0.70842,0.78424,0.58583,1.00345,0.8493,1.20997,0.001585,0.001585,0.001585
87,9047.65,0.74214,0.57203,1.05367,0.84253,0.69619,0.78496,0.58675,1.00419,0.84921,1.20998,0.001486,0.001486,0.001486
88,9147.25,0.73631,0.56941,1.05329,0.8281,0.7079,0.78488,0.58644,1.0046,0.85229,1.21038,0.001387,0.001387,0.001387
89,9246.9,0.73414,0.56968,1.04684,0.82785,0.70712,0.78422,0.58683,1.0035,0.8522,1.21074,0.001288,0.001288,0.001288
90,9346.77,0.72817,0.55718,1.04274,0.83603,0.70145,0.78401,0.58623,1.00415,0.8539,1.21118,0.001189,0.001189,0.001189
91,9437.45,0.67835,0.43096,0.99514,0.82925,0.70869,0.78366,0.58559,1.00562,0.85105,1.21361,0.00109,0.00109,0.00109
92,9527.72,0.65922,0.40867,0.98503,0.81932,0.71553,0.7842,0.58434,1.00707,0.85255,1.21629,0.000991,0.000991,0.000991
93,9618.36,0.65447,0.39632,0.97865,0.83143,0.70402,0.78382,0.58529,1.00819,0.85564,1.21905,0.000892,0.000892,0.000892
94,9708.89,0.64738,0.39485,0.97637,0.83148,0.70514,0.78348,0.58462,1.00966,0.85894,1.22081,0.000793,0.000793,0.000793
95,9799.8,0.63938,0.38597,0.97292,0.83097,0.70445,0.78233,0.58366,1.01136,0.86154,1.2228,0.000694,0.000694,0.000694
96,9890.29,0.62794,0.37905,0.96275,0.83852,0.69898,0.78158,0.5826,1.01219,0.86535,1.2235,0.000595,0.000595,0.000595
97,9981.16,0.62351,0.372,0.95871,0.8391,0.6966,0.78113,0.58293,1.01322,0.86707,1.22519,0.000496,0.000496,0.000496
98,10072.1,0.62137,0.36983,0.95875,0.83846,0.69736,0.78095,0.58228,1.01472,0.86996,1.22751,0.000397,0.000397,0.000397
99,10163.3,0.61709,0.3674,0.95892,0.83879,0.69582,0.78018,0.58152,1.0162,0.87177,1.2292,0.000298,0.000298,0.000298
100,10253.6,0.61508,0.36419,0.95801,0.83885,0.69304,0.7797,0.58073,1.0167,0.87312,1.23049,0.000199,0.000199,0.000199
